1526212738301	3003	Відремонтувати розетки	2-х кімнатна квартира	2.0	false
1526084379143	3001	Повісити карниз	4 карнизи	1.0	false
1526084379145	666	Вивезти будівельне сміття	20 кв. метрів	2.0	false
1526084379144	3002	Встановити пластикові вікна	3 вікна	4.0	false
1526212892124	3004	Вкрутити лампочку в під'їзді	1 під'їзд	0.5	false
1526212943603	3005	Поклеїти шпалери	Квартира, 3 кімнати	48.0	false
1526213012815	3006	Налагодити сміттєпровід	Жилий дім	6.5	false
1526213038734	3007	Встановити пластикові двері на балкон	1 двері	5.0	false
1526213140311	3008	Перекласти підлогу	2 кімнати	38.0	false
1526213203933	3006	Відремонтувати санвузол	1 кв	6.0	false
1526213257944	3007	Тече батарея	1 батарея	3.5	true
1526213448761	3008	Іскрять проводи	4 проводи	0.5	true
1526213301053	3005	Клеїти плінтуси	2 кімнати	1.5	true
